,Formate,Caffeine,Tryptophan,Phenylalanine,Histidine,Tyrosine,Fumarate,Glucose,Serine,Proline,Pyroglutamate,Threonine,Lactate,Choline,Asparagine,Aspartate,Methionine,Citrate,Glutamine,Acetone,Arginine,Alanine,Lysine,Valine,Isoleucine,Leucine
7SEP2015FB1-RT3d,0.599998909090909,1.9991630318181817,0.1233331090909091,1.1333312727272729,0.9749982272727273,1.003331509090909,-0.000613243002341035,35.53326872727273,5.5683232090909085,4.6016582999999995,0.9666649090909091,2.733328363636363,8.49665121818182,0.3266660727272727,6.618321299999998,1.5883304454545455,0.9266649818181817,0.40170138367595065,2.624995227272727,0.2780011570165617,2.1616627363636365,0.9383316272727271,3.3333272727272725,3.1599942545454542,2.836661509090909,3.546660218181818
8SEP2015FB1-RT4d,0.8941775562668166,1.980980940150908,0.1448635607299756,1.0969962529051893,0.9766996967326786,0.8303509722782157,0.0045068898404897265,32.903382442491925,4.716616004855612,4.720917016731448,1.0555257432550875,2.6775045395118946,11.133483014323986,0.31342933144206786,6.854178073346674,1.5278113793793098,0.8801620490086702,0.4598786242480515,2.5285144535907094,0.3129923437540895,1.9827224255385543,0.9980943433510142,3.281586740699571,3.073834494562766,2.790997418427235,3.422128601890092
9SEP2015FB1-RT5d,1.3957804341880984,2.3257229150698726,0.22033404093834816,1.1800606789842465,1.258270890594353,1.269574281694595,0.007232697613889171,34.895670354170555,4.808920857572356,6.271073041621306,1.5928024833235055,2.7726203297921748,15.778000163321737,0.4127013204828446,7.868498666084402,2.5329720724494096,0.9388396107503556,1.8940728633170112,10.910315046568563,0.4155894279659168,2.2542319005097347,1.2835175948649347,2.8260652538455444,3.1501186758906092,3.3849861101448777,3.3163141030691032
10SEP2015FB1-RT6d,1.8786016136051684,2.3256542707094248,0.17959806748132373,1.075155072796722,1.1681150109771945,1.077340118560254,0.00201057009291437,31.641386654030413,4.628919102576308,6.2017587538948185,2.244132891435156,2.887457796017073,16.036831420744996,0.35259345897079325,7.257431359234988,2.1150395442607306,0.7905558252670194,1.8206692061783019,9.235620225822796,0.36454236648830207,1.925000924994456,1.5132310432539258,2.6654660114133835,2.9335828770939436,3.077802538085729,3.0417207255448973
11SEP2015FB1-RT7d,2.4174460650504996,2.4152924758021608,0.2877155877608092,0.9388987484639082,1.225758400533115,1.350526595877887,0.004993276961889113,34.2818368593562,4.9239165153769795,8.695089648989017,3.6033419667861555,2.961054037306225,24.689122880477456,0.4287342916600989,8.044332980441073,2.8938645117091535,1.1639137137406181,3.3235611705747323,12.329784701028213,0.6157718328922687,2.566670245594132,2.2135599797323278,2.55050708077015,3.0657458803557582,3.5704902615920733,2.949505144680658
12SEP2015FB1-RT8d,3.131084644390763,2.225581456378564,0.43190955765750827,0.8037200799622046,1.294559127179865,1.3770463859141955,0.008604526034926497,35.10506561769329,5.402704288361731,14.034847140238305,5.4365481542165615,3.1201537446515806,37.47123401105046,0.6168155139317545,8.8595013664703,3.099484832283623,1.9753883993902668,4.456712765809442,12.005496678349985,0.820048049212627,3.2231886312018725,3.266268434503819,2.253774614549095,2.477937489296313,6.267728931219965,2.5960111253127747
13SEP2015FB1-RT9d,3.6415506610059225,2.198721517940541,0.3300654822159785,0.654671326746041,1.1332556664884377,1.1362890389351592,0.003609336672822183,26.872216559895033,4.953960629538045,15.222262902216519,6.293571805673608,2.742071224665816,39.7386962406976,0.48909004298234193,8.538782502119698,2.772718770136413,1.7913789957067838,4.480600126421103,10.155495059715964,0.7501944440187281,2.53381118296421,3.9976435717041263,2.0469533656243337,2.0925444596079092,5.203293728045026,2.131999411576506
14SEP2015FB1-RT10d,4.095285793707925,2.266601460121718,0.24539468589842095,0.5141772557078248,0.9506178322668453,0.8336346688231636,0.010330148495775958,17.991637354497588,4.442177712949594,14.875567088012703,6.588940212191159,2.1111584535000874,37.677802264512735,0.2665811122937125,7.282242667837264,2.5098076661547557,1.5636796494142402,4.275313681606335,7.846555843104166,0.539878867818766,1.6618159898320806,4.540758868368672,1.76092771754275,1.6999555706411589,3.887836810828073,1.6553310362475264
15SEP2015FB1-RT11d,4.505714679273512,2.2379987546684497,0.15867922148997166,0.38833540191750954,0.6990374822768405,0.568617371770052,0.009899858447355792,9.2642239567749,4.556952550661929,17.54462102721663,7.54021931428676,1.9231681856122627,32.7557929909671,0.16164385609743295,7.002276043134674,2.7275440981639614,1.5801618991102904,4.454888741565625,6.109488090936807,0.5335284241708228,1.188334742671304,5.2612469790854215,1.5102688044784625,1.234486605799598,3.00755140159083,1.2346772319705666
16SEP2015FB1-RT12d,5.358954689205052,2.171113156038609,0.06529408014222578,0.25511120400194,0.0410821756817253,0.2798819345727817,0.020844524878949586,6.975029629683579,4.932803753788921,20.776206037517444,7.189660698864043,-0.8236254701183433,13.211935038114436,0.08567170339486364,0.03605055331470304,2.1865974450268952,1.5376057825121812,4.065668858973932,3.4929973761266067,0.3631405771305599,0.5627571867671275,4.682405032862233,0.8519403680869971,0.6957786448736194,2.035757291426197,0.8267804138911868
17SEP2015FB1-RT13d,8.17585765779798,2.134823615115422,0.2284781983105093,0.2778687932490027,0.006550412956809457,0.21039234828859393,0.021811561921102757,3.7594245780124114,3.339265571727559,18.981586554041765,7.434216228097761,-0.017911745627304264,12.419184351794406,0.11092872007552478,-0.0758191981219017,2.5189355467095798,1.6718457327813208,4.194,2.2198745152185313,0.2955901392625012,0.31832674315033826,3.4796862884479545,0.7241265904245854,0.6718920867294141,1.9049915641090711,0.8167084814285717
